Ticker;Company
8TRA;8TRA
AAK;AAK
ABB;ABB Ltd
ACAD;AcadeMedia
ALIF-B;AddLife B
ANOD-B;Addnode Group B
ADDT-B;Addtech B
AOI;Africa Oil
AFRY;AFRY
ALFA;Alfa Laval
ALIG;Alimak Group
ALLIGO-B;Alligo B
AMBEA;Ambea
ANNE-B;Annehem Fastigheter B
AQ;AQ Group
ARION-SDB;Arion Banki SDB
ARJO-B;Arjo B
ASSA-B;ASSA ABLOY B
AZ;AstraZeneca
ATCO-A;Atlas Copco A
ATCO-B;Atlas Copco B
ATRLJ-B;Atrium Ljungberg B
ATT;Attendo
ALIV-SDV;Autolib SDB
AZA;Avanza Bank Holding
AXFO;Axfood
BACTI-B;Bactiguard Holding B
BALCO;Balco Group
BEIA-B;Beijer Alma B
BELE;Beijer Electronics Group
BEIJ-B;Beijer Ref B
BERG-B;Bergman & Beving B
BESQ;Besqab
BETS-B;Betsson B
BETCO;Better Collective
BHG;BHG Group
BICO;BICO Group
BILI-A;Bilia A
BILL;BillerudKorsn�s
BIOA-B;BioArctic B
BIOG-B;BioGaia B
BINV;BioInvent International
BIOT;Biotage
BOL;Boliden
BONAV-A;Bonava A
BONAV-B;Bonava B
BONEX;BONESUPPORT HOLDING
BOOZT;Boozt
BRAV;Bravida Holding
BRIN-B;Brinova Fastigheter B
BTS-B;BTS Group B
BUFAB;Bufab
BULTEN;Bulten
BURE;Bure Equity
BFG;Byggfakta Group Nordic HoldCo
BMAX;Byggmax Group
CALTX;Calliditas Therapeutics
CAMX;Camurus
CANTA;Cantargia
CARY;Cary Group Holding
CAST;Castellum
CAT-A;Catella A
CAT-B;Catella B
CATE;Catena
CTM;Catena Media
CCC;Cavotec
CEVI;CellaVision
CIBUS;Cibus Nordic Real Estate
CINT;Cint Group
CLAS-B;Clas Ohlson B
CLA-B;Cloetta B
COLL;Collector
COIC;Concentric
COOR;Coor Service Management Hold.
CORE-A;Corem Property Group A
CORE-B;Corem Property Group B
CORE-D;Corem Property Group D
CORE-PREF;Corem Property Group Pref
CRED-A;Creades A
CTEK;CTEK
CTT;CTT Systems
DIOS;Di�s Fastigheter
DOM;Dometic Group
DUNI;Duni
DUST;Dustin Group
EAST;Eastnine
ELAN-B;Elanders B
ELUX-A;Electrolux A
ELUX-B;Electrolux B
EPRO-B;Electrolux Professional B
EKTA-B;Elekta B
ELOS-B;Elos Medtech B
ELTEL;Eltel
ENEA;Enea
ENQ;EnQuest PLC
EOLU-B;Eolus Vind B
EPI-A;Epiroc A
EPI-B;Epiroc B
EQT;EQT
ERIC-A;Ericsson A
ERIC-B;Ericsson B
ESSITY-A;Essity A
ESSITY-B;Essity B
EVO;Evolution
FABG;Fabege
FAG;Fagerhult
FG;Fasadgruppen Group
BALD-B;Fast. Balder B
FING-B;FING B
FMM-B;FMM B
FNM;FNM
FOI-B;FOI B
FPAR-A;FPAR A
FPAR-D;FPAR D
G5EN;G5EN
GARO;GARO
GETI-B;GETI B
GPG;GPG
GREEN;GREEN
GRNG;GRNG
HEBA-B;HEBA B
HEM;HEM
HEXA-B;HEXA B
HLDX;HLDX
HM-B;HM B
HMS;HMS
HNSA;HNSA
HOFI;HOFI
HOLM-A;HOLM A
HOLM-B;HOLM B
HPOL-B;HPOL B
HTRO;HTRO
HUFV-A;HUFV A
HUM;HUM
HUSQ-A;HUSQ A
HUSQ-B;HUSQ B
IAR-B;IAR B
IMMNOV;IMMNOV
INDT;INDT
INDU-A;INDU A
INDU-C;INDU C
INSTAL;INSTAL
INTRUM;INTRUM
INVE-A;INVE A
INVE-B;INVE B
INWI;INWI
IPCO;IPCO
IRLAB-A;IRLAB A
ISOFOL;ISOFOL
ITAB;ITAB
IVSO;IVSO
JM;JM
JOMA;JOMA
JOSE;JOSE
K2A-B;K2A B
K2A-PREF;K2A PREF
KAR;KAR
KFAST-B;KFAST B
KIND-SDB;KIND SDB
KINV-A;KINV A
KINV-B;KINV B
KLARA-B;KLARA B
KNOW;KNOW
LAGR-B;LAGR B
LATO-B;LATO B
LEO;LEO
LIAB;LIAB
LIFCO-B;LIFCO B
LIME;LIME
LINC;LINC
LOGI-A;LOGI A
LOGI-B;LOGI B
LOOMIS;LOOMIS
LUC;LUC
LUG;LUG
LUMI;LUMI
LUND-B;LUND B
LUNE;LUNE
MANG;MANG
MCAP;MCAP
MCOV-B;MCOV B
MEKO;MEKO
MIPS;MIPS
MSON-A;MSON A
MSON-B;MSON B
MTG-A;MTG A
MTG-B;MTG B
MTRS;MTRS
MYCR;MYCR
NCAB;NCAB
NCC-A;NCC A
NCC-B;NCC B
NDA-SE;NDA SE
NENT-A;NENT A
NENT-B;NENT B
NETEL;NETEL
NEWA-B;NEWA B
NIBE-B;NIBE B
NIVI-B;NIVI B
NMAN;NMAN
NOBI;NOBI
NOLA-B;NOLA B
NORB-B;NORB B
NORVA;NORVA
NOTE;NOTE
NP3;NP3
NP3-PREF;NP3 PREF
NPAPER;NPAPER
NWG;NWG
NYF;NYF
OEM-B;OEM B
ONCO;ONCO
ORES;ORES
ORX;ORX
OVZON;OVZON
PACT;PACT
PEAB-B;PEAB B
PIERCE;PIERCE
PLAX-B;PLAZ B
PNDX-B;PNDX B
PRFO;PRFO
PRIC-B;PRIC B
PROB;PROB
QLINEA;QLINEA
RATO-A;RATO A
RATO-B;RATO B
RAY-B;RAY B
READ;READ
REJL-B;REJL B
RESURS;RESURS
RROS;RROS
RVRC;RVRC
SAAB-B;SAAB B
SAGA-A;SAGA A
SAGA-B;SAGA B
SAGA-D;SAGA D
SAND;SAND
SAS;SAS
SAVE;SAVE
SBB-B;SBB B
SBB-D;SBB D
SCA-A;SCA A
SCA-B;SCA B
SCST;SCST
SDIP-B;SDIP B
SDIP-PREF;SDIP PREF
SEB-A;SEB A
SEB-C;SEB C
SECT-B;SECT B
SECU-B;SECU B
SF;SF
SHB-A;SHB A
SHB-B;SHB B
SHOT;SHOT
SINCH;SINCH
SIVE;SIVE
SKA-B;SKA B
SKF-A;SKF A
SKF-B;SKF B
SKIS-B;SKIS B
SLP-B;SLP B
SOBI;SOBI
SSAB-A;SSAB A
SSAB-B;SSAB B
STE-A;STE A
STE-R;STE R
