Company,Ticker,Country
DNB ASA,DNB.OL,NOR
Axactor,ACR.OL,NOR
Goodtech,GOD.OL,NOR
InterOil Exploration and Production,IOX.OL,NOR
Kongsberg Automotive,KOA.OL,NOR
Orkla Group,ORK.OL,NOR
Petroleum Geo-Services,PGS.OL,NOR
Petrolia,PSE.OL,NOR
SATS,SATS.OL,NOR
Schibsted ser. A,SCHA.OL,NOR
Telenor,TEL.OL,NOR
AFRY,AFRY.ST,SWE
Alimak Group,ALIG.ST,SWE
Ambea,AMBEA.ST,SWE
BioGaia B,BIOG-B.ST,SWE
BioInvent International,BINV.ST,SWE
Cavotec,CCC.ST,SWE
Ericsson B,ERIC-B.ST,SWE
Essity A,ESSITY-A.ST,SWE
FING B,FING-B.ST,SWE
G5EN,G5EN.ST,SWE
HOFI,HOFI.ST,SWE
KINV A,KINV-A.ST,SWE
LEO,LEO.ST,SWE
LIME,LIME.ST,SWE
LINC,LINC.ST,SWE
LUG,LUG.ST,SWE
MCAP,MCAP.ST,SWE
MTG A,MTG-A.ST,SWE
MTG B,MTG-B.ST,SWE
MTRS,MTRS.ST,SWE
NCC A,NCC-A.ST,SWE
NOBI,NOBI.ST,SWE
NORB B,NORB-B.ST,SWE
PRFO,PRFO.ST,SWE
SECU B,SECU-B.ST,SWE
SYNSAM,SYNSAM.ST,SWE
TIGO SDB,TIGO-SDB.ST,SWE
TOBII,TOBII.ST,SWE
WBGR B,WBGR-B.ST,SWE
VNV,VNV.ST,SWE
