Company,Ticker,Country
ABG Sundal Collier,ABG.OL,NOR
AF Group,AFG.OL,NOR
Akastor,AKA.OL,NOR
Aker,AKER.OL,NOR
Aker BP,AKERBP.OL,NOR
Aker Solutions,AKSO.OL,NOR
AKVA Group,AKVA.OL,NOR
American Shipping Company,AMSC.OL,NOR
Carasent,CARA.OL,NOR
Aqualis,AQUA.OL,NOR
Archer,ARCHER.OL,NOR
Arcus,ARCUS.OL,NOR
Arendals Fossekompani,AFK.OL,NOR
Asetek,ASETEK.OL,NOR
Atea,ATEA.OL,NOR
Atlantic Petroleum,ATLA-NOK.OL,NOR
Aurskog Sparebank*,AURG.OL,NOR
Austevoll Seafood,AUSS.OL,NOR
Avance Gas Holding,AVANCE.OL,NOR
Awilco Drilling,AWDR.OL,NOR
Axactor,ACR.OL,NOR
B2Holding,B2H.OL,NOR
Bakkafrost,BAKKA.OL,NOR
Belships,BEL.OL,NOR
Endúr,ENDUR.OL,NOR
BerGenBio,BGBIO.OL,NOR
Biotec Pharmacon,BIOTEC.OL,NOR
Bonheur,BON.OL,NOR
Borgestad,BOR.OL,NOR
Borr Drilling,BDRILL.OL,NOR
Borregaard,BRG.OL,NOR
Bouvet ASA,BOUVET.OL,NOR
BW LPG,BWLPG.OL,NOR
BW Offshore Limited,BWO.OL,NOR
Byggma,BMA.OL,NOR
ContextVision,COV.OL,NOR
Crayon Group Holding,CRAYON.OL,NOR
Data Respons,DAT.OL,NOR
DNB ASA,DNB.OL,NOR
DNO International,DNO.OL,NOR
DOF ASA,DOF.OL,NOR
Eidesvik Offshore,EIOF.OL,NOR
Elkem,ELK.OL,NOR
Electromagnetic Geoservices,EMGS.OL,NOR
Entra,ENTRA.OL,NOR
Equinor,EQNR.OL,NOR
Europris,EPR.OL,NOR
Evry,EVRY.OL,NOR
Fjord1,FJORD.OL,NOR
Fjordkraft Holding,FKRAFT.OL,NOR
FLEX LNG,FLNG.OL,NOR
Frontline Ltd.,FRO.OL,NOR
Funcom,FUNCOM.OL,NOR
Gaming Innovation Group,GIG.OL,NOR
GC Rieber Shipping,RISH.OL,NOR
Gjensidige Forsikring,GJF.OL,NOR
Golden Ocean Group,GOGL.OL,NOR
Goodtech,GOD.OL,NOR
Grieg Seafood,GSF.OL,NOR
Gyldendal ASA,GYL.OL,NOR
Höegh LNG Holdings,HLNG.OL,NOR
Havila Shipping,HAVI.OL,NOR
Havyard Group,HYARD.OL,NOR
Helgeland Sparebank*,HELG.OL,NOR
Hexagon Composites,HEX.OL,NOR
Hiddn Solutions,HIDDN.OL,NOR
Høland og Setskog Sparebank*,HSPG.OL,NOR
IDEX ASA,IDEX.OL,NOR
Incus Investor,INC.OL,NOR
Infront,INFRNT.OL,NOR
InterOil Exploration and Production,IOX.OL,NOR
Sogn Sparebank,SOGN.OL,NOR
Itera,ITE.OL,NOR
Jinhui Shipping and Transport,JIN.OL,NOR
Jæren Sparebank*,JAEREN.OL,NOR
Kid,KID.OL,NOR
