Company,Ticker,Country
DNB ASA,DNB.OL,NOR
8TRA,8TRA.ST,SWE
AAK,AAK.ST,SWE
ABB Ltd,ABB.ST,SWE
AcadeMedia,ACAD.ST,SWE
AddLife B,ALIF-B.ST,SWE
Addnode Group B,ANOD-B.ST,SWE
Addtech B,ADDT-B.ST,SWE
Africa Oil,AOI.ST,SWE
AFRY,AFRY.ST,SWE
Alfa Laval,ALFA.ST,SWE
Alimak Group,ALIG.ST,SWE
Alligo B,ALLIGO-B.ST,SWE
Ambea,AMBEA.ST,SWE
Annehem Fastigheter B,ANNE-B.ST,SWE
AQ Group,AQ.ST,SWE
Arion Banki SDB,ARION-SDB.ST,SWE
Arjo B,ARJO-B.ST,SWE
ASSA ABLOY B,ASSA-B.ST,SWE
AstraZeneca,AZ.ST,SWE
Atlas Copco A,ATCO-A.ST,SWE
Atlas Copco B,ATCO-B.ST,SWE
Atrium Ljungberg B,ATRLJ-B.ST,SWE
Attendo,ATT.ST,SWE
Autolib SDB,ALIV-SDV.ST,SWE
Avanza Bank Holding,AZA.ST,SWE
Axfood,AXFO.ST,SWE
Bactiguard Holding B,BACTI-B.ST,SWE
Balco Group,BALCO.ST,SWE
Beijer Alma B,BEIA-B.ST,SWE
Beijer Electronics Group,BELE.ST,SWE
Beijer Ref B,BEIJ-B.ST,SWE
Bergman & Beving B,BERG-B.ST,SWE
Besqab,BESQ.ST,SWE
Betsson B,BETS-B.ST,SWE
Better Collective,BETCO.ST,SWE
BHG Group,BHG.ST,SWE
BICO Group,BICO.ST,SWE
Bilia A,BILI-A.ST,SWE
BillerudKorsn�s,BILL.ST,SWE
BioArctic B,BIOA-B.ST,SWE
BioGaia B,BIOG-B.ST,SWE
BioInvent International,BINV.ST,SWE
Biotage,BIOT.ST,SWE
Boliden,BOL.ST,SWE
Bonava A,BONAV-A.ST,SWE
Bonava B,BONAV-B.ST,SWE
BONESUPPORT HOLDING,BONEX.ST,SWE
Boozt,BOOZT.ST,SWE
Bravida Holding,BRAV.ST,SWE
Brinova Fastigheter B,BRIN-B.ST,SWE
BTS Group B,BTS-B.ST,SWE
Bufab,BUFAB.ST,SWE
Bulten,BULTEN.ST,SWE
Bure Equity,BURE.ST,SWE
Byggfakta Group Nordic HoldCo,BFG.ST,SWE
Byggmax Group,BMAX.ST,SWE
Calliditas Therapeutics,CALTX.ST,SWE
Camurus,CAMX.ST,SWE
Cantargia,CANTA.ST,SWE
Cary Group Holding,CARY.ST,SWE
Castellum,CAST.ST,SWE
Catella A,CAT-A.ST,SWE
Catella B,CAT-B.ST,SWE
Catena,CATE.ST,SWE
Catena Media,CTM.ST,SWE
Cavotec,CCC.ST,SWE
CellaVision,CEVI.ST,SWE
Cibus Nordic Real Estate,CIBUS.ST,SWE
Cint Group,CINT.ST,SWE
Clas Ohlson B,CLAS-B.ST,SWE
Cloetta B,CLA-B.ST,SWE
Collector,COLL.ST,SWE
Concentric,COIC.ST,SWE
Coor Service Management Hold.,COOR.ST,SWE
Corem Property Group A,CORE-A.ST,SWE
Corem Property Group B,CORE-B.ST,SWE
Corem Property Group D,CORE-D.ST,SWE
